Scheme Name,Category,Source URL,Status
PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Agriculture,https://pmkisan.gov.in,To Verify
PM Fasal Bima Yojana,Agriculture,https://pmfby.gov.in,To Verify
PM-KUSUM (Kisan Urja Suraksha evam Utthaan Mahabhiyan),Agriculture,https://pmkusum.mnre.gov.in,To Verify
Ayushman Bharat - PMJAY,Health,https://pmjay.gov.in,To Verify
PM Awas Yojana - Urban,Housing,https://pmay-urban.gov.in,To Verify
PM Awas Yojana - Gramin,Housing,https://pmayg.nic.in,To Verify
PM Ujjwala Yojana,Housing/Household,https://pmuy.gov.in,To Verify
Sukanya Samriddhi Yojana,Women & Child,https://www.nsiindia.gov.in/InternalPage.aspx?Id_Pk=89,To Verify
PM Matru Vandana Yojana,Women & Child,https://pmmvy.wcd.gov.in,To Verify
National Scholarship Portal - Pre-Matric Scholarship (SC/ST/OBC),Education,https://scholarships.gov.in,To Verify
National Scholarship Portal - Post-Matric Scholarship,Education,https://scholarships.gov.in,To Verify
Atal Pension Yojana,Finance/Pension,https://npscra.nsdl.co.in/scheme-details.php,To Verify
PM Jan Dhan Yojana,Finance,https://pmjdy.gov.in,To Verify
PM Jeevan Jyoti Bima Yojana,Finance/Insurance,https://jansuraksha.gov.in,To Verify
PM Suraksha Bima Yojana,Finance/Insurance,https://jansuraksha.gov.in,To Verify
PM Vishwakarma Yojana,Employment/MSME,https://pmvishwakarma.gov.in,To Verify
PM Mudra Yojana,Employment/MSME,https://www.mudra.org.in,To Verify
National Social Assistance Programme - Old Age Pension (IGNOAPS),Senior Citizen Welfare,https://nsap.nic.in,To Verify
e-Shram (Unorganised Workers),Labour/Employment,https://eshram.gov.in,To Verify
Manav Garima Yojana (Gujarat),Employment/Self-Employment,https://sje.gujarat.gov.in,To Verify
Mukhyamantri Gruh Yojana (Gujarat),Housing,https://gujarathousingboard.gujarat.gov.in,To Verify
Vahli Dikri Yojana (Gujarat),Women & Child,https://wcd.gujarat.gov.in,To Verify
Ganga Swaroop Beheno Ne Sahayata Yojana (Gujarat),Women/Pension,https://sje.gujarat.gov.in,To Verify
Gujarat Post-Matric Scholarship (SC/ST/OBC),Education,https://digitalgujarat.gov.in,To Verify
